MUTATO_KOD;MUTATO_FOCSOP_MEGNEV;MUTATO_MEGNEV
TYWZ001;Balesetek;Közúti közlekedési balesetben meghalt, megsérült személyek száma, tízezer lakosra
TYWZ002;Balesetek;Közúti közlekedési balesetben meghalt személyek száma, tízezer lakosra
TYWZ003;Balesetek;Közúti közlekedési balesetben súlyos sérülést szenvedő személyek száma, tízezer lakosra
TYWZ004;Balesetek;Közúti közlekedési balesetben könnyű sérülést szenvedő személyek száma, tízezer lakosra
TYWZ005;Balesetek;Tavasszal történt közúti közlekedési baleset az összes baleset százalékában
TYWZ006;Balesetek;Nyáron történt közúti közlekedési baleset az összes baleset százalékában
TYWZ007;Balesetek;Ősszel történt közúti közlekedési baleset az összes baleset százalékában
TYWZ008;Balesetek;Télen történt közúti közlekedési baleset az összes baleset százalékában
TYWZ009;Balesetek;Ittasan okozott közúti közlekedési baleset az összes baleset százalékában
TYWK001;Oktatás;Száz óvodai férőhelyre jutó gyermek
TYWK002;Oktatás;Ezer lakosra jutó óvodás gyermek
TYWK101;Oktatás;Az egy pedagógusra jutó tanulók száma az alapfokú oktatásban
TYWQ002;Személyi jövedelemadó;A személyi jövedelemadóalapot képező jövedelem egy állandó lakosra
TYWQ003;Személyi jövedelemadó;A személyi jövedelemadóalapot képező jövedelem egy adófizetőre
TYWL001;Kultúra;A százezer lakosra jutó közművelődési intézmények száma
TYWL002;Kultúra;A százezer lakosra jutó közművelődési intézményekben szervezett kulturális rendezvények száma
TYWL003;Kultúra;Egy közművelődési intézményekben szervezett kulturális rendezvényre jutó látogatók átlagos száma
TYWL004;Kultúra;A százezer lakosra jutó könyvtárak száma
TYWL005;Kultúra;A százezer lakosra jutó kölcsönzött könyvtári egységek száma
TYWL006;Kultúra;Ezer lakosra jutó beiratkozott könyvtári olvasók száma
TYWL007;Kultúra;Mozi férőhelyek száma
TYWL008;Kultúra;Múzeumi látogatások száma
TYWL009;Kultúra;Színházak látogatóinak száma
TYWL010;Kultúra;Levéltári kutatók száma
TYWV003;Ipar;Egy lakosra jutó ipari termelési érték (telephely szerinti adatok, 4 fő felett)
TYWG007;Lakásállomány, -építés, -megszűnés, -árak;Értékesített használt lakások átlagos ára
TYWG102;Lakásállomány, -építés, -megszűnés, -árak;Ezer lakásra jutó értékesített használt lakások száma
TYWH001;Környezet, közmű;Egy lakosra jutó éves vízfogyasztás
TYWH002;Környezet, közmű;A közüzemi ivóvízhálózatba bekötött lakások aránya
TYWH003;Környezet, közmű;A közüzemi szennyvízgyűjtő-hálózatba bekötött lakások aránya
TYWH004;Környezet, közmű;Víziközműves közműolló (lakásokra)
TYWH005;Környezet, közmű;Az egy csatornázott lakásra jutó éves elvezetett lakossági szennyvízmennyiség
TYWH101;Környezet, közmű;Egy háztartási fogyasztóra jutó évi villamosenergia-fogyasztás
TYWH102;Környezet, közmű;Egy háztartási fogyasztóra jutó éves gázfogyasztás
TYWH103;Környezet, közmű;Egy háztartási fogyasztóra jutó évi távhőmennyiség
TYWH104;Környezet, közmű;Egy háztartási fogyasztóra jutó évi melegvízmennyiség
TYWH105;Környezet, közmű;Háztartási villamosenergia-fogyasztók aránya a lakásállományból
TYWH106;Környezet, közmű;Háztartási gázfogyasztók aránya a lakásállományból
TYWH107;Környezet, közmű;Távfűtésbe bekapcsolt lakások aránya
TYWH108;Környezet, közmű;Melegvíz-ellátásba bekapcsolt lakások aránya
TYWH201;Környezet, közmű;A közszolgáltatás keretében elszállított települési hulladék egy főre jutó mennyisége
TYWH202;Környezet, közmű;Egy főre jutó hagyományosan gyűjtött települési hulladék
TYWH203;Környezet, közmű;Egy főre jutó elkülönítetten gyűjtött települési hulladék
TYWH204;Környezet, közmű;Egy főre jutó hasznosított települési hulladék
TYWH301;Környezet, közmű;Száz km2 területre jutó közút
TYWR002;Posta, távközlés, gépjármű-állomány;Távbeszélő-fővonal ezer lakosra
TYWR003;Posta, távközlés, gépjármű-állomány;Internet-előfizetések ezer lakosra
TYWX001;Igazságszolgáltatás;A százezer lakosra jutó regisztrált bűncselekmények száma
TYWX002;Igazságszolgáltatás;A százezer lakosra jutó regisztrált sértetté válások száma
TYWH401;Környezet, közmű;Erdősültség
TYWH402;Környezet, közmű;1000 lakosra jutó erdőterület
TYWD001;Beruházás;Beruházási teljesítményérték/lakosok száma
TYWD002;Beruházás;Beruházási teljesítményérték/ gazdasági szervezetek száma
TYWU001;K+F;Egy kutatóhelyre jutó K+F-ráfordítás megoszlása
TYWU003;K+F;Egy kutatóhelyre jutó K+F számított, állományi létszám megoszlása 
TYWY001;Nemzeti számlák, GDP;Egy főre jutó bruttó hazai termék
TYWY002;Nemzeti számlák, GDP;Az egy főre jutó GDP az országos átlag %-ában
TYWY003;Nemzeti számlák, GDP;Egy főre jutó GDP vásárlóerő-paritáson
TYWJ101;Egészségügy, szociális ellátás;Száz bölcsődei férőhelyre beírt gyermek
TYWJ103;Egészségügy, szociális ellátás;Ezer 3 éven aluli gyermekre jutó bölcsődei ellátást igénybevevő tárgyév május 31-én
TYWU002;K+F;K+F-ráfordítás aránya a GDP-hez képest 
TYWE001;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény terület
TYWE002;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény korcsoport < 3 év
TYWE003;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény korcsoport 3-9 év
TYWE004;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény korcsoport 10-29 év
TYWE005;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény korcsoport >= 30 év
TYWE006;Mezőgazdaság - Szőlőültetvények adatai;Szőlő fajtacsoport - fehér borszőlő
TYWE007;Mezőgazdaság - Szőlőültetvények adatai;Szőlő fajtacsoport - vörös borszőlő
TYWE008;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény művelésmód - fej, bak
TYWE009;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény művelésmód - kordon
TYWE010;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény művelésmód - ernyő
TYWE011;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvény művelésmód - egyéb
TYWE012;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol az ültetvény kora < 3 év
TYWE013;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol az ültetvény kora 3-9 év
TYWE014;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol az ültetvény kora 10-29 év
TYWE015;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol az ültetvény kora  >=30 év
TYWE016;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a szőlő fajtacsoport fehér borszőlő
TYWE017;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a szőlő fajtacsoport vörös borszőlő
TYWE018;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a művelésmód fej vagy bak
TYWE019;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a művelésmód kordon
TYWE020;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a művelésmód ernyő
TYWE021;Mezőgazdaság - Szőlőültetvények adatai;Szőlőültetvényterület aránya, ahol a művelésmód egyéb
TYWJ011;Egészségügy, szociális ellátás;A háziorvosoknál nyilvántartott cukorbetegek (E10–E14) tízezer azonos korú lakosra jutó aránya a 19 éves és idősebb korosztályokban
TYWJ012;Egészségügy, szociális ellátás;A háziorvosoknál nyilvántartott magasvérnyomás-betegek (I10–I15) tízezer azonos korú lakosra jutó aránya a 19 éves és idősebb korosztályokban
